Name_CH,Name_ML,Name_EN,Location,Longitude,Latitude,Region,Category,PageNumber,,
吉玻庄严同宗会,Persatuan Zhuang Yam Kedah Dan Perlis,,"No.4, Tingkat 2, Taman Selesa, Simpang Kuala, 05400 Alor Setae Kedah.",100.3666021,6.095685,Perlis,血缘,37,,
玻璃市港口鱼商船主公会,Persatuan Peniaga Ikan Dan Pengusaha Bot Kuala Perlis,,"No.19, Taman Sentosa, 02000 Kuala Perlis, Perlis.",100.134212,6.391184,Perlis,业缘,37,,
玻璃市州华人大会堂,Dewan Perhimpunan China Negeri Perlis,Perlis Chinese Assembly Hall,"30, Jalan Maju 4, Taman Kemajuan, 01000 Kangsar, Perlis.",100.2003471,6.4244126,Perlis,综合,37,,
玻璃市广东公会,Persatuan Guang Dong Guan Di Miao Perlis,,"Taman Mutiara, Fasa 3, 01000 Kangar, Perlis.",100.1885371,6.434396,Perlis,地缘,37,,
玻州小贩商业公会,Persatuan Penjaja-Penjaja & Penjual-Penjual Negeri Perlis,,"10, Jin Jubli Perak, 01000 Kangar, Perlis.",100.1918523,6.4348625,Perlis,业缘,37,,
玻璃市中华工商总会,,Perlis Chinese Chamber of Commerce and Industry,"274, Jalan Kangar-Alor Setarjingkat 1, Taman Mutiara, 01000 Kangar, Perlis.",100.1886573,6.4361422,Perlis,业缘,37,,
玻璃市福建会馆,Persatuan Hokkien Perlis,Perlis Hokkien Association,"No.1, Jalan Barrack, Kangar, Perlis.",100.229309,6.5333079,Perlis,地缘,37,,
玻州加基武吉中华公会,Persatuan Choong Fah Koong Pooi,,Dewan Persatuan Choong Fah Koong Fooi 02200 Kaki Bukit Perlis.,100.1927389,6.7071186,Perlis,综合,37,,
玻州亚娄庆安宫,Persatuan Penganut Dewa Kheng Aun Keong,,"C-16, Jalan Syed Hussein, 02600 Arau, Perlis.",100.273179,6.426466,Perlis,宗教,38,,
华益学校校友会,Persatuan Murid-Murid Tua Hwa Aik,,"Sekolah Hwa Aik, Arauz Perlis.",100.2738723,6.4269488,Perlis,文教,38,,
群益学校校友会,Persatuan Murid-Murid Tua Khoon Aik,,"1, Jin Seri Satuz Taman Perlis, 01000 Kangar, Perlis.",100.196919,6.4279,Perlis,文教,38,,
