所属州,所属区域,所属行政单位类型,所属行政单位名称,年份 (1),年份 (2),单位名称,主神,Longitude,Latitude
雪兰莪 Selangor,鹅唛  Gombak,重整村,煤炭山 Batu Arang,1913,,玉皇宫（玉皇大帝庙）,玉皇大帝,,
雪兰莪 Selangor,鹅唛  Gombak,重整村,煤炭山 Batu Arang,1913,,释迦殿,,3.314882,101.475254
雪兰莪 Selangor,鹅唛  Gombak,重整村,煤炭山 Batu Arang,1913,,广明亭,,3.319183,101.476718
雪兰莪 Selangor,鹅唛  Gombak,重整村,拿督李金狮村 Dato' Lee Kim Sai,,,佛法仙坛,,3.308535,101.578384
雪兰莪 Selangor,鹅唛  Gombak,重整村,太平村 Desa Aman,,,刘氏佛堂,,3.204126,101.595399
雪兰莪 Selangor,鹅唛  Gombak,重整村,太平村 Desa Aman,,,聚山庙,,3.205157,101.595834
雪兰莪 Selangor,鹅唛  Gombak,重整村,太平村 Desa Aman,,,福灵宫,,3.206118,101.595244
雪兰莪 Selangor,鹅唛  Gombak,重整村,瓜拉加冷南区 Kuala Garing Selatan,,,三山法主坛,,3.32125,101.564878
雪兰莪 Selangor,鹅唛  Gombak,重整村,甘榜拉惹 Kampung Rajah,,1865,感应亭 Kam Yin Teng,观音菩萨,3.323344,101.573892
雪兰莪 Selangor,鹅唛  Gombak,重整村,甘榜拉惹 Kampung Rajah,,,桂南道堂,,3.322841,101.573707
雪兰莪 Selangor,鹅唛  Gombak,重整村,甘榜拉惹 Kampung Rajah,,,興義殿,,3.322727,101.574535
雪兰莪 Selangor,鹅唛  Gombak,重整村,甘榜拉惹 Kampung Rajah,,,万挠济公坛,,3.324413,101.572546
雪兰莪 Selangor,鹅唛  Gombak,重整村,美丽村 Sri Indah,,,慈航讲堂,,3.229551,101.576298
雪兰莪 Selangor,巴生  Klang,重整村,海南村 Bagan Hailam,,,天后庙,,3.002609,101.38647
雪兰莪 Selangor,巴生  Klang,重整村,海南村 Bagan Hailam,,,昭应祠,,3.002008,101.386942
雪兰莪 Selangor,巴生  Klang,重整村,五条港 Bagan Sungai Lima,,,旌阳宫,,3.041607,101.278754
雪兰莪 Selangor,巴生  Klang,重整村,五条港 Bagan Sungai Lima,,,五条港三魂公,,3.042935,101.279626
雪兰莪 Selangor,巴生  Klang,重整村,五条港 Bagan Sungai Lima,,,五条港拿督公,,3.04301,101.279739
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1968,协天宫Hiap Tian Kiong,关圣大帝,3.024394,101.250954
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1997,济仙洞关帝宫 Chee Sian Tong,关帝圣君,3.020613,101.251027
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1972之前,太上老君仙法师公古庙 Xian Fa Shi Gong,仙法师公,3.0334114,101.2467116
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1995,拿督娘娘宫Dato Neo-Neo Temple,拿督娘娘,3.022873,101.251885
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,,阴应宫Yin Ying Kong,灵应公,3.026768,101.253856
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1966,宝圣宫Po Seng Keng,玄天上帝,3.023272,101.254639
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,,白虎宫 Bai Hu Gong,白虎将军,3.020668,101.250506
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1978之前,南海观音亭Nan Hai Guan Yin Ting,南海观音,3.020844,101.249087
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1894,福龙宫 Hock Leng Keng,李府童子爷,3.022577,101.253344
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1872,昭应庙天后宫 Chiau Eng Bio Thiam Houh Kong,天上圣母,3.020996,101.255422
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,,达摩祖师庙,,3.020287,101.248059
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,,拿督公庙,,3.020292,101.248191
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,,源順興綾厝,,3.020392,101.248963
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,,吉胆岛海上拿督公,,3.026784,101.266199
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1954,南天宫 Nan Thian Keng,齐天大圣,3.02335,101.254882
雪兰莪 Selangor,巴生  Klang,重整村,吉胆岛 Pulau Ketam,,1964,白鹤仙法师公古庙Pek Hoh Siang Huat Sze Kong,达摩祖师,3.023235,101.26139
雪兰莪 Selangor,八打灵  Petaling,重整村,千百家村Kampung Cempaka,,1970,圣灵宫 Seng Leng Kong,关圣帝君,3.122929,101.601014
雪兰莪 Selangor,八打灵  Petaling,重整村,千百家村Kampung Cempaka,,1986,玄天上帝宫 Hean Tian Siong Teh Kiong,玄天上帝,3.127633,101.600028
雪兰莪 Selangor,八打灵  Petaling,重整村,千百家村Kampung Cempaka,,1920,阮梁圣佛宫 Yuen Leong Sing Fatt Temple,阮梁公圣佛,3.116805,101.597644
雪兰莪 Selangor,乌鲁冷岳  Hulu Langat,重整村,仙水港Bukit Angkat,,,加影瑶池宫,,2.996015,101.769281
雪兰莪 Selangor,乌鲁冷岳  Hulu Langat,重整村,仙水港Bukit Angkat,,1960,利安庙 Lee Onn Temple,三保公,2.996,101.770778
雪兰莪 Selangor,乌鲁冷岳  Hulu Langat,重整村,仙水港Bukit Angkat,,,菩提净宗学会Amitabha,,2.995087,101.768735
雪兰莪 Selangor,乌鲁冷岳  Hulu Langat,重整村,仙水港Bukit Angkat,,,三宝宫,,2.990668,101.767749
雪兰莪 Selangor,"鹅唛  Gombak,,",新村,甲洞乌鲁 Kepong Ulu,1950,1979,甲洞福庆堂观音庙,观音菩萨,3.22455,101.633173
雪兰莪 Selangor,"鹅唛  Gombak,,",新村,淡江 Kuala Ampang,1951,,淡江关帝庙,關帝聖君,3.165158,101.747812
雪兰莪 Selangor,"鹅唛  Gombak,,",新村,根登 Kundang,1951,,根登三殿大二伯爷府,大伯爷，二伯爷,3.276293,101.516233
雪兰莪 Selangor,"鹅唛  Gombak,,",新村,根登 Kundang,1952,二战时期（或更早）,根登三山国王庙,,3.277459,101.512857
雪兰莪 Selangor,"鹅唛  Gombak,,",新村,万挠 Sungai Terentang,1951,1963,金英坛 Kim Ying Tan,金英祖师,3.309114,101.589342
雪兰莪 Selangor,"鹅唛  Gombak,,",新村,万挠 Sungai Terentang,1951,,Chinese Temple Lks 10,,3.315405,101.575353
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1912,观南宫 Guan Nan Gong,哪督娘娘,3.00273,101.413061
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1937,慈竹庙,南海观音,3.001467,101.420936
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1950,班达马兰灵宝宫 Ling Bao Gong,田公元帅,3.007448,101.416504
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1950,天宝宫,玄天上帝,3.006707,101.412137
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1954,福进宫 Hock Chin Kong,张公圣君,3.013494,101.424185
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1954,菩提林,观音,3.007584,101.416388
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1955,广福宫,铁府元帅爷,,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1962,观合宫,拿督公,3.004295，101.418887,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1965,班达马兰再也二路尾关庆宫 Kwan Kheng Keng,拿督哈山比李,3.010748,101.424683
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1966,天恩道堂,-,3.039716,101.452558
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1967,班达马兰梨山圣母宫 Lai Suan Siah Boh Temple,众位仙法师公,3.006994,101.409313
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1970,班达马兰后尾芭清林寺 Qing Lin Si,释迦牟尼佛,2.999628,101.42084
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1970,班达马兰玉皇庙 Giok Hong Temple,玉皇大帝,3.007642,101.416296
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1975,观天宫 Kuan Tien Keng,哪啅哈芝莫哈曼,3.012525,101.417635
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1979,班达马兰东南宫 Tong Lam Gong,如来佛祖,3.002435,101.416094
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1980,班达马兰一区关顺宫 Guan Shun Gong,协天大帝,3.004896,101.410368
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1982,班达马兰二区天和宫 Tian He Gong,张公圣君,3.007564,101.410046
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1982,班达马兰咸水芭宝圣宫 Poh Seng Keng,北极玄天上帝,3.003635,101.416965
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1985,班达马兰一区尾张公坛 Tiew Kong Tuah,张公圣君,3.007824,101.465041
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1985,泗灵宫,拿督公,3.007521，101.414094,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1985,观福宫,拿督公,3.004075，101.419147,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1986,联福庙 Lian Fu Miao,拿督丹斯灵,3.007629,101.416598
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1989,莲花清人寺 Buddha Lotus,如来佛祖,3.012306,101.418058
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1993,班达马兰咸水芭莲安宫 Lian Ann Kong,莲花三太子,2.999696,101.412166
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1994,观灵宫,拿督克拉迈,,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1997,班达马兰万津路妈祖庙 Mah Chor Temple,天后圣母,3.001314,101.420073
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1998,福德祠,福德正神,3.045987,101.440126
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1999,天法宫,章公圣君,3.015671，101.418431,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,2004,船头拿督公新宫,拿督公哈芝山,3.000928，101.420054,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,2007,班达马兰善童坛 Sin Thong Tuah,善才爷公,3.015594,101.424341
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,-,靔宝宫,释迦摩尼,3.010751,101.424371
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,-,万寿宫,大伯爷，二伯爷，牛头马面鬼卒,3.003154，101.416285,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1950年代,顺天宫,惠泽尊王,,
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1953之前,班达马兰观西宫 Kuan Seh Keong,拿督翁,3.009866,101.417804
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1953之前,靔寿宫 Thian Siew Keng,齐天大圣,3.010808,101.424297
雪兰莪 Selangor,巴生 Klang,新村,班达马兰 Pendamaran,1952,1970年左右,孙福宫,大圣爷（齐天大圣），哪吒三太子,3.004416,101.413214
