Longitude,Latitude,Name_CH,Name_ML,Name_EN,Location,Region,Category,PageNumber,Country,UID,ADM2_PCODE
102.2300168,2.450665,淡边海南会馆 ,Persatuan Hainan Tampin,," 282, Pulau Sebang, 73000 Tampin, Melaka.",Negeri Sembilan,地缘,226,Malaysia,2233,MY0601
100.8442524,5.6344544,居邦慈音佛学会,Pertubuhan Buddhist Tze Yin Kupang Baling,,"99, Jalan Gadek, Kupang, Baling, Kedah.",Kedah,宗教,53,Malaysia,189,MY0201
100.6150351,5.2124135,西岭学校校友会,"Persatuan Bekas Murid Sekolah Cina Serdang, Kedah",,"85, Jalan Pecah Batu, 09800 Serdang, Kedah.",Kedah,文教,51,Malaysia,165,MY0202
100.6745879,5.231285,吉南司南马德教会振成阁,Persatuan Amal Chin Shen Khor,,"77, Jalan Raya, 09810 Selama, Kedah.",Kedah,宗教,52,Malaysia,177,MY0202
100.6421799,5.2400823,吉南西岭德教会紫峰阁,,Chee Hong Khor Moral Uplifting Society,"106-C, Jalan Raya, 09800 Serdang Kedah.",Kedah,宗教,53,Malaysia,186,MY0202
100.6421799,5.2398823,西领华人义山委员会,Pertubuhan Jawatankuasa Pengurusan Tanah Perku-buran Cina Serdang Kedah,,"93 Main Road, 09800 Serdang, Kedah.",Kedah,慈善福利,60,Malaysia,271,MY0202
100.232622,5.3519831,槟城浮罗山背福建会馆,Persatuan Hokkien Balik Pulau,Hokkien Kang Hoay Balik Pulau,"C/O Choo San See Temple, Balik Pulau, Pulau Pinang.",Penang,地缘,63,Malaysia,286,MY1101
100.2219249,5.3604972,浮罗广汀公所,Kong Teng Kongsor Balik Pulau,Tay Yap Temple,"Mk-4, Balik Pulau Village, 11000 Pulau Pinang.",Penang,地缘,66,Malaysia,322,MY1101
100.2776462,5.2915644,北马涂氏公会,Persatuan Keturunan Thor Utara Semenanjung Malaysia,North Malaysia Thor Clan Association,"No.354 H, Jalan Batu Maung, Pulau Pinang.",Penang,血缘,69,Malaysia,357,MY1101
100.2732198,5.2814868,槟城林氏圣母堂,Dewan Suci Um Si Seng Bo,,"7135, Blok-J, Mkl2, Pusat P. Semula, Jalan Permatang Damai Laut, 11960 Pulau pinang.",Penang,血缘,70,Malaysia,369,MY1101
100.2770012,5.3198825,槟城阮氏陈留堂,Persatuan Keturunan Kaum Goon Pulau Pinang,,"502, Pintasan Mayang 7,11950 Bayan Lepas, Pulau Pinang.",Penang,血缘,71,Malaysia,381,MY1101
100.2333333,5.4001,黄氏宗祠,Wong Si Clan Temple,,"21, Mk-4, Batu Itam Balik Pulau, 11000 Pulau Pinang.",Penang,血缘,74,Malaysia,417,MY1101
100.2333333,5.3999,浮罗福建公冢,Persatuan Hokkien Balik Pulau,,"C/0 Choon San Temple, Batu Itam, 11000 Balik Pulau, Penang. 257 B, MK 1, Pantiaches, 11010 Balik Pulau, Penang.",Penang,慈善福利,132,Malaysia,1105,MY1101
100.2368621,5.3524351,槟城浮罗圣心校友会,Persatuan Bekas Murid-AAurid Sekolah Sacred Heart Balik Pulau,,"c/o SM Sacred Heart, 11000 Balik Pulau, Pulau Pinang.",Penang,文教,88,Malaysia,583,MY1101
100.2039477,5.3400647,浮罗山背崇德校友会,,Chong Teik School Old Boys' Association,"338, Jalan Quah Sin Khong, 11000 Balik Pulau, Pulau Pinang.",Penang,文教,92,Malaysia,630,MY1101
100.271169,5.324564,崇正校友会,Persatuan Bekas Murid-Murid Sekolah Chong Cheng Sg. Ara Pulau Pinang,,"SJK Chong Cheng (C), Sg. Ara, Pulau Pinang.",Penang,文教,92,Malaysia,631,MY1101
100.2729242,5.2796053,文开校友会,Persatuan Bekas Murid-Murid Sekolah Wan Khai Pulau Pinang,,"Sekolah Rendah Wan Khai, Jalan Batu Maung, Pulau Pinang.",Penang,文教,94,Malaysia,654,MY1101
100.2036769,5.39299,育才校友会,Persatuan Bekas Murid-Murid Sekolah Yu Chye,,"490, Kuala Sungai Pinang, 11000 Balik Pulau, Pulau Pinang.",Penang,文教,95,Malaysia,666,MY1101
100.2036769,5.39279,天后宫理事会,"Pertubuhan Penganut Thean Hor Keong, Kuala Sg. Pinang, Pulau Pinang (1991)",,"Kuala Sg. Pinang, Balik Pulau, Pulau Pinang.",Penang,宗教,117,Malaysia,928,MY1101
100.3066084,5.3331774,中山校友会,,Chang Shan School Union,"564, Bayan Lepas, 11900 Pulau Pinang.",Penang,文教,95,Malaysia,668,MY1101
100.2004611,5.3532534,槟城浮罗山背东山宫,Pertubuhan Penganut Dewa Tung San Kung Balik Pulau Pulau Pinang,,"573 MK D, Jalan Kuala Baru, Balik Pulau, Pulau Pinang.",Penang,宗教,101,Malaysia,737,MY1101
100.235765,5.351427,槟城浮罗徳教会紫滨阁,Persatuan Pendidikan Akhlak Chee Pin Kor,Chee Pin Kor Moral Urlif Ting Society,"404, Jalan Besar, Pekan Balik Pulau, 11000 Balik Pulau, Pulau Pinang.",Penang,宗教,101,Malaysia,738,MY1101
100.2541301,5.294129,槟城浮罗山背公芭中元盂兰胜会,Pertubuhan Perayaan Teong Guan Yu Lan Sheng Hui Teluk Kumbar Pulau Pinang,,"1038 MK.9 Teluk Kumbar, Bayan Lepas.",Penang,宗教,101,Malaysia,739,MY1101
100.2541301,5.293929,槟城浮罗山背公芭清水祖师庙,Persatuan Pengganut Dewa Cheng Chooi Chor Soo Teluk Kumbar Pulau Pinang,,"156 MK.9, Teluk Kumbar, Pulau Pinang.",Penang,宗教,101,Malaysia,740,MY1101
100.2104858,5.3522487,槟城浮罗新路头七圣宫,Pertubuhan Penganut Dewi Chit Seng,,"Tokong Chit Seng, Lot 455, Jalan Bahru, Mk-D, 11000 Balik Pulau, Penang.",Penang,宗教,102,Malaysia,749,MY1101
100.2104858,5.3520487,七圣宫,"Pertubuhan Penganut Dewi Chit Seng Jalan Bahru, Batik Pulau, Pulau Pinang",,"Tokong Chit Seng, Lot 455 Jalan Bahru, MK D, Balik Pulau, Pulau Pinang.",Penang,宗教,115,Malaysia,904,MY1101
100.2349501,5.350316,槟城浮罗山背玄天上帝庙,Rumah Berhala Hean Tean Seang Tee Balik Pulau,Heap Tean Seang Tee Temple Balik Pulau,"Heap Tean Seang Tee Temple K 4, Main Road, Balik Pulau, Penang.",Penang,宗教,102,Malaysia,750,MY1101
100.2593272,5.294464,槟城峇六拜广东暨汀州大伯公庙,Persatuan Pengganut Dewa Tok Pek Kong Kwang Tung Dan Teng Chow Bayan Lepas,,"Daerah Barat, Daya Pulau Pinang, 1241, Main Road, Bayan Lepas.",Penang,宗教,102,Malaysia,751,MY1101
100.2757968,5.3024122,槟城过山天灵坛中坛元帅,Pertubuhan Penganut Dewa Thean Leng Thuan Bayan Lepas Pulau Pinang,,"308 Blok-G, MK-12, Sg. Tiram, Pulau Pinang.",Penang,宗教,102,Malaysia,752,MY1101
100.1941399,5.2849183,槟城美湖广福宫,Rumah Berhala Kong Hock Keong,,"136, MK8, Gertak Sangggul, 11910 Bayan Lepas, Pulau Pinang.",Penang,宗教,103,Malaysia,761,MY1101
100.1942265,5.2847683,美湖广福宫庙,,Kong Hock Keong Temple,"17, Gertak Sanggul, 11910 Pulau Pinang.",Penang,宗教,114,Malaysia,892,MY1101
100.1940533,5.2847683,美湖朱家中家拳体育及文化协会,Persatuan Kebudayaan & Sukan Choo Kar Chong Kar KuanGertak Sanggul,,"337, Mk8, Gertak Sanggul, 11910 Pulau Pinang.",Penang,体育联谊,128,Malaysia,1058,MY1101
100.2102652,5.4574064,槟城直落巴巷峰溪山大伯公庙,Pertubuhan Rumah Tua Pek Kong Telok Bahang Pulau Pinang,,"Lot 552, Jalan Hassan Abas, Teluk Bahang, Pulau Pinang.",Penang,宗教,106,Malaysia,797,MY1101
100.217255,5.332792,槟榔屿文丁清龙宫,,Cheng Leong Temple,"Lot 183, Mk-6, Genting Balik Pulau, 11000 Pulau Pinang.",Penang,宗教,106,Malaysia,798,MY1101
100.2319757,5.4583159,峰溪山大伯公庙,Persatuan Binaan Rumah Berhala Tua Pek Kong Telok Bahang,,11050 Pulau Pinang.,Penang,宗教,110,Malaysia,844,MY1101
100.2352729,5.3553251,浮罗佛教修行林,Pertubuhan Pertapaan Penganut Agama Buddha Balik Pulau Buddhist Hermitage,,"471-A, Mukim 4, Batu Itam, 11000 Balik Pulau, Pulau Pinang",Penang,宗教,110,Malaysia,845,MY1101
100.2785782,5.303739,峇六拜过山区太上坛,"Persatuan Penganut Dewa Thai Siang Than Sg.Tiram, Bayan Lipas, Pulau Pinang",,"328, MK.G.Sungai Tiram, Bayan Lepas, 11900 Pulau Pinang.",Penang,宗教,113,Malaysia,882,MY1101
100.2150385,5.457999,直落巴巷峰溪山大伯公,Persatuan Rumah Berhala Tua Pek Kong Teluk Bahang,,"Lot 552, Teluk Bahang, 11050 Pulau Pinang.",Penang,宗教,122,Malaysia,988,MY1101
100.2358098,5.3518646,槟城浮罗公益阅书报社,Kong Yit Yat Soo Poh Seah,,"124, Main Road Balik Pulau, 11000 Pulau Pinang.",Penang,体育联谊,123,Malaysia,999,MY1101
100.2941759,5.3300695,槟城阿德雷德之友协会,Persatuan Sahabat Adelaide Pulau Pinang,The Friends Of Adelaide Association Penang Penang Development Corporation,"No.1, Jalan Sg. Nibong, Bayan Lepas, Pulau Pinang.",Penang,体育联谊,123,Malaysia,1001,MY1101
100.2872769,5.3234439,槟岛南区乡镇联谊会,"Persatuan Perpaduan Penduduk-Penduduk Daerah Bakat Daya, Pulau Pinang",,"56, Jalan Mayang Pasir， Bayan Baru, 11950 Penang.",Penang,体育联谊,126,Malaysia,1035,MY1101
100.2221651,5.367104,浮罗区华人公冢,,The Balik Pulau Chinese Cemetery Association Penang,"Pokok Manggis Cemetery SHBD, Mk4, Lot 273, Balik Pulau, Penang.",Penang,慈善福利,132,Malaysia,1106,MY1101
100.2318052,5.2879216,美湖水长华人义山理事会,Jawatankuasa Pengurusan Tanah Perkuburan Orang-Orang Awam Cina Gertak Sanggul Dan Bukit Gemuruh,,"C/O 766, MK 8, Gertak Sanggul 11910 Bayan Lepas, Pulau Pinang.",Penang,慈善福利,134,Malaysia,1129,MY1101
100.2892996,5.3284627,什公司华人义山,,"The Chinese Public Cemetery Sepuluh Kongsi, Penang","c/o. 17, Lorong Mahsuri 7, Bayan Baru, 11950 Pulau Pinang.",Penang,慈善福利,134,Malaysia,1132,MY1101
101.296359,4.11514,马登巴冷中华公会,Persatuan Cina Batang Padang,,"d/a : E78 Taman Bukit 35500 Bidor, Perak",Perak,综合,138,Malaysia,1181,MY0901
101.5189921,3.68105,丹绒马林福建会馆,Persatuan Hokkien Tanjong Malim,,"30A & 31A, Jalan Bunga Raya, 35900 Tanjong Malim, Perak.",Perak,地缘,140,Malaysia,1201,MY0901
101.5200575,3.681611,丹绒马林客属公会,,Kheh Community Association,"1, Chong Ah Peng Street, 35900 Tanjong Malim, Perak.",Perak,地缘,140,Malaysia,1202,MY0901
