InputID,TargetID,Distance
柔佛古廟,大圣堂,290018.602307194
柔佛古廟,南天宫九皇爷,289629.411982274
柔佛古廟,金英庙,298455.698451134
柔佛古廟,阮梁圣佛宫,302574.20227773
柔佛古廟,桃园圣宫,298955.111289964
柔佛古廟,威灵宫,314123.030777437
柔佛古廟,玄天上帝宫,302638.98213914
柔佛古廟,斗母宫,300278.298548785
柔佛古廟,开封府龙图宫,295673.878558214
柔佛古廟,阮梁圣公佛,300415.104717856
柔佛古廟,山云宫,296660.148901181
柔佛古廟,五雷仙师坛,295534.036462951
柔佛古廟,玉皇庙,295790.348154113
柔佛古廟,白鹤仙法师公古庙,328867.507677571
柔佛古廟,白虎宫,313869.987918587
柔佛古廟,班达马兰东南宫,311874.449010178
柔佛古廟,班达马兰二区天和宫,312605.46789888
柔佛古廟,班达马兰观西宫,312100.101883533
柔佛古廟,班达马兰后尾芭清林寺,311101.091468898
柔佛古廟,班达马兰梨山圣母宫,312709.568917707
柔佛古廟,班达马兰灵宝宫,310796.818487828
柔佛古廟,班达马兰善童坛,311834.229811468
柔佛古廟,班达马兰万津路妈祖庙,302847.838111553
柔佛古廟,班达马兰咸水芭宝圣宫,276621.799732131
柔佛古廟,班达马兰咸水芭莲安宫,312602.13609013
柔佛古廟,班达马兰一区关顺宫,312488.236905061
柔佛古廟,班达马兰一区尾张公坛,312046.438700092
柔佛古廟,班达马兰玉皇庙,312338.524657156
柔佛古廟,班达马兰再也二路尾关庆宫,310945.153612302
柔佛古廟,船头拿督公新宫,312434.425565853
柔佛古廟,达摩祖师庙,328857.165692379
柔佛古廟,福进宫,311809.873328547
柔佛古廟,福龙宫,329532.600747277
柔佛古廟,港口班达马兰师公坛,312509.727998188
柔佛古廟,关庆宫,311874.84262841
柔佛古廟,观合宫,312202.957970238
柔佛古廟,观灵宫,310796.818487828
柔佛古廟,观南宫,311874.449010178
柔佛古廟,观天宫,312240.654949203
柔佛古廟,广福宫,311101.091468898
柔佛古廟,济仙洞关帝宫,297218.348557041
柔佛古廟,莲花清人寺,311659.062604085
柔佛古廟,联福庙、联福宫,311101.091468898
柔佛古廟,拿督娘娘宫,329532.600747277
柔佛古廟,南海观音亭,328867.507677571
柔佛古廟,南天宫,329532.600747277
柔佛古廟,泗灵宫,312295.913891463
柔佛古廟,孙福宫,312143.952251788
柔佛古廟,太上老君仙法师公古庙,329532.600747277
柔佛古廟,天恩道堂（真空教）,310709.883090126
柔佛古廟,靔宝宫,310945.153612302
柔佛古廟,靔寿宫,310945.153612302
柔佛古廟,协天宫,321291.135366027
柔佛古廟,阴应宫,329532.600747277
柔佛古廟,昭应祠,314760.63295642
柔佛古廟,昭应庙天后宫,321291.135366027
柔佛古廟,吧生莲花清人寺佛祖慈善院,312676.114517949
柔佛古廟,法灵宫,313786.689053696
柔佛古廟,法门寺,308370.159725946
柔佛古廟,福成宫,313211.67322843
柔佛古廟,福德正神宫,313961.076300216
柔佛古廟,观宝宫,311712.036326327
柔佛古廟,观世庙,311766.095564804
柔佛古廟,合莲坛,311422.456620456
柔佛古廟,吉胆过港区協天宫,329532.600747277
柔佛古廟,莲花宫,306736.672946315
柔佛古廟,莲忠宫,308726.278175866
柔佛古廟,南天门孫福宮,312143.952251788
柔佛古廟,普光兰若,313314.229194248
柔佛古廟,师公坛,312509.727998188
柔佛古廟,天赐宫,313415.366517675
柔佛古廟,靝寿宫,311874.84262841
柔佛古廟,珠兴祠,313202.652490499
柔佛古廟,紫云福德祠,312243.908053194
柔佛古廟,八宝宫,317829.262277695
柔佛古廟,巴生港口清凉亭,313266.704685869
柔佛古廟,巴生港口天福宫,313668.340767673
柔佛古廟,巴生港口天缘道堂（真空教）,311269.438074685
柔佛古廟,巴生加埔路二支協天宫,315136.887438969
柔佛古廟,巴生加埔路九支天灵宫,322191.803490092
柔佛古廟,巴生加埔十一支兴化府,324723.375648647
柔佛古廟,巴生峇都勿拉南阳宫,314456.058306719
柔佛古廟,白音宫,309985.856096441
柔佛古廟,船头哪督,312504.43326044
柔佛古廟,二支南山洞威灵宫,314207.597680568
柔佛古廟,凤山寺,311418.090550446
柔佛古廟,佛喃码万灵宫、万灵宫,312371.795167957
柔佛古廟,福德坛,311101.382344887
柔佛古廟,高阳苑中南庙,307236.237878927
柔佛古廟,汉寿亭侯关帝庙,309890.769758424
柔佛古廟,河边路石山哪督爷公,312980.097302507
柔佛古廟,河边路靔灵宫,313367.701545211
柔佛古廟,河边路同心宫,313367.701545211
柔佛古廟,河天宫,315337.730600534
柔佛古廟,加埔路八支聚宝堂,322664.335404218
柔佛古廟,加埔路二支半大伯公坛,313935.89469905
柔佛古廟,加埔路十二支三福宫,323564.546039257
柔佛古廟,加埔路十四支天顺宫,323560.881466928
柔佛古廟,加埔路十支茅山法祖,325811.774077481
柔佛古廟,加埔路一支川童宫,314863.184009065
柔佛古廟,崑崙坛,315833.027850741
柔佛古廟,莲亭寺,317010.993243413
柔佛古廟,良木宫,309457.779058467
柔佛古廟,龙和宫,311804.082191209
柔佛古廟,龙礼寺,311101.382344887
柔佛古廟,马基督哪卓公,312504.43326044
柔佛古廟,木吒宫李府二太子,312692.746262255
柔佛古廟,南山宫,311894.845382008
柔佛古廟,七星佛光真君坛、七星佛光坛,306932.114021124
柔佛古廟,七玉殿,311347.622301445
柔佛古廟,圣淘沙北主宫,307613.856358395
柔佛古廟,圣淘沙东岳坛,307846.905635546
柔佛古廟,圣淘沙福德宫,305825.463518815
柔佛古廟,圣淘沙美华花园寿龟庙,307813.285369251
柔佛古廟,圣淘沙哪督宫,307876.319926853
柔佛古廟,圣淘沙石壶宫,305443.200063519
柔佛古廟,圣淘沙石头宫,307689.387479858
柔佛古廟,十五支天后宫,331858.491988171
柔佛古廟,双溪槟榔二支半马山灵宫,314863.184009065
柔佛古廟,太明宫,312504.43326044
柔佛古廟,天圣宫,317598.321352956
柔佛古廟,天云宫,311716.568718079
柔佛古廟,五条路观音亭,311679.645598072
柔佛古廟,五条路开封府,311691.089032631
柔佛古廟,伍德宫,310145.262456145
柔佛古廟,许大宫,311347.622301445
柔佛古廟,沿海宫,311101.382344887
柔佛古廟,椰脚联合庙,311931.546561096
柔佛古廟,椰脚紫云亭,312213.846923494
柔佛古廟,永安镇二副天福宫,311448.555648714
柔佛古廟,永安镇通圣洞,311516.09419423
柔佛古廟,园拿督保灵宫,317897.151692626
柔佛古廟,月天宫,312050.900460496
柔佛古廟,云天宫、加埔云天宫,324230.646068733
柔佛古廟,直落昂八仙庙,312266.051363478
柔佛古廟,直落昂城隍庙,312266.051363478
柔佛古廟,直落昂慈德堂,312266.051363478
柔佛古廟,直落昂地灵宫,311677.451858535
柔佛古廟,直落昂福灵宫,311947.224081086
柔佛古廟,直落昂全顺宫,311702.863705428
柔佛古廟,直落昂西天宫,311242.765272381
柔佛古廟,直落玻璃凤山寺公会,312685.892299428
