Name_CH,Name_ML,Name_EN,Location,Region,Category,PageNumber,Country
玻璃市港口鱼商船主公会,Persatuan Peniaga Ikan Dan Pengusaha Bot Kuala Perlis,,"No.19, Taman Sentosa, 02000 Kuala Perlis, Perlis.",Perlis,业缘,37,Malaysia
玻璃市广东公会,Persatuan Guang Dong Guan Di Miao Perlis,,"Taman Mutiara, Fasa 3, 01000 Kangar, Perlis.",Perlis,地缘,37,Malaysia
玻璃市中华工商总会,,Perlis Chinese Chamber of Commerce and Industry,"274, Jalan Kangar-Alor Setarjingkat 1, Taman Mutiara, 01000 Kangar, Perlis.",Perlis,业缘,37,Malaysia
玻州小贩商业公会,Persatuan Penjaja-Penjaja & Penjual-Penjual Negeri Perlis,,"10, Jalan Jubli Perak, 01000 Kangar, Perlis.",Perlis,业缘,37,Malaysia
玻州加基武吉中华公会,Persatuan Choong Fah Koong Pooi,,Dewan Persatuan Choong Fah Koong Fooi 02200 Kaki Bukit Perlis.,Perlis,综合,37,Malaysia
玻璃市州华人大会堂,Dewan Perhimpunan China Negeri Perlis,Perlis Chinese Assembly Hall,"30, Jalan Maju 4, Taman Kemajuan, 01000 Kangsar, Perlis.",Perlis,综合,37,Malaysia
玻璃市福建会馆,Persatuan Hokkien Perlis,Perlis Hokkien Association,"No.1, Jalan Barrack, Kangar, Perlis.",Perlis,地缘,37,Malaysia
吉玻庄严同宗会,Persatuan Zhuang Yam Kedah Dan Perlis,,"No.4, Tingkat 2, Taman Selesa, Simpang Kuala, 05400 Alor Setae Kedah.",Perlis,血缘,37,Malaysia
玻璃市佛学会,Pertubuhan Buddist Perlis,,"1, Jalan Mutiara, Taman Mutiara, 01000 Kangar, Perlis.",Perlis,宗教,38,Malaysia
玻州德教会紫阳阁,Persatuan Pendidikan Akhlak Che Yang Khor,Che Yang Khor Moral Uplifting Society,"33, Pengkalan Asam, 01000 Kangar, Perlis.",Perlis,宗教,38,Malaysia
玻璃市华校董事联合会,Persatuan Lembaga2 Pengurus Sekolan China Perlis,,"C/O SRJK(C) Khoon Aik, Jalan Raja Syed Alwi, 01000 Kangar, Perlis.",Perlis,文教,38,Malaysia
群益学校校友会,Persatuan Murid-Murid Tua Khoon Aik,,"1, Jalan Seri Satuz Taman Perlis, 01000 Kangar, Perlis.",Perlis,文教,38,Malaysia
