,District_Code,Name_EN,old,a,b,c,d,e,f,g,h,UID,no_img,Name_ZH,Address,District_EN,District_ZH,Main_Diety,Founding_Date,Steele,Plaque,latitude,longitude,old_2,State
0,,Ampang Thai Sin Thong,False,False,False,True,False,False,False,False,False,,,大圣堂,"2A, Jalan 16, Kampung Baru Ampang, 68000 Ampang, Selangor",,安邦,,,,,3.1388956,101.7593671,,Perlis
1,,Ampang Nan Tian Gong Kau Ong Yah Temple,False,False,False,True,False,False,False,False,False,,,南天宫九皇爷,"Jalan Merdeka (Kampung Baru Ampang), 68000 Ampang, Selangor.",,安邦,,,,,3.1395722,101.7644836,,Perlis
2,,Kam Ying Temple,False,False,False,True,False,False,False,False,False,,,金英庙,"31, Jalan SS 9A/15, Sungai Way, 47300 Petaling Jaya, Selangor",,八打灵,,,,,3.0868716,101.6216042,,Perlis
3,,Yuen Leong Sing Fatt Temple,False,False,False,True,False,False,False,False,False,,,阮梁圣佛宫,"149, PJU 1/34, Kampung Cempaka, 47301 Petaling Jaya, Selangor.",,八打灵,,,,,3.1169731,101.5977977,,Perlis
4,,Tho Guan Sen Temple,False,False,False,True,False,False,False,False,False,,,桃园圣宫,"289, Jalan SS 9A/2, Sungai Way, 47300 Petaling Jaya, Selangor.",,八打灵,,,,,3.0885021,101.6172012,,Perlis
5,,Wee Leng Keng,False,False,False,True,False,False,False,False,False,,,威灵宫,"MP 51， No. 97E, Kampung Matang Pagar, 47000 Sungai Buloh, Selangor.",,八打灵,,,,,3.2452177,101.5657002,,Perlis
6,,Hean Tian Siong Teh Kiong,False,False,False,True,False,False,False,False,False,,,玄天上帝宫,"S130, Kampung Cempaka, 47300 Petaling Jaya, Selangor.",,八打灵,,,,,3.11795,101.5978039,,Perlis
7,,Tow Boo Keong,False,False,False,True,False,False,False,False,False,,,斗母宫,"174, Jalan 17/47, Seksyen 17, 46400 Petaling Jaya, Selangor",,八打靈縣,,,,,3.1240551,101.6292195,,Perlis
8,,Leng Toh Temple,False,False,False,True,False,False,False,False,False,,,开封府龙图宫,"3, Jalan 1/8, 46000 Petaling Jaya, Selangor",,八打靈縣,,,,,3.0842426,101.6510277,,Perlis
9,,Petaling Jaya Yeong Leong Beow,False,False,False,True,False,False,False,False,False,,,阮梁圣公佛,"122, Jalan 17A/1, Seksyen 17, 46400 Petaling Jaya, Selangor",,八打靈縣,,,,,3.1299101,101.6321792,,Perlis
10,,Sun Hoon Keong,False,False,False,True,False,False,False,False,False,,,山云宫,"47, Jalan 1/2, 46000 Petaling Jaya, Selangor",,八打靈縣,,,,,3.0816951,101.6379577,,Perlis
11,,Wu Lei Xian Shi Temple,False,False,False,True,False,False,False,False,False,,,五雷仙师坛,"16, Jalan 1/6, 46000 Petaling Jaya, Selangor",,八打靈縣,,,,,3.0837684,101.6522502,,Perlis
12,,Yu Huang Temple,False,False,False,True,False,False,False,False,False,,,玉皇庙,"40, Jalan Railway 1/2, Seksyen 1, 46000 Petaling Jaya, Selangor",,八打靈縣,,,,,3.0824505,101.6483519,,Perlis
13,,Pek Hoh Siang Huat Sze Kong,False,False,False,True,False,False,False,False,False,,,白鹤仙法师公古庙,"122A, Bagan Teochew, Pulau Ketam, Selangor.",,巴生,,,,,3.0195539,101.2452358,,Perlis
14,,Bai Hu Gong,False,False,False,True,False,False,False,False,False,,,白虎宫,"Sungai Seberang, Pulau Ketam, Port Klang, Selangor.",,巴生,,,,,2.99874,101.39157,,Perlis
15,,Tong Lam Gong,False,False,False,True,True,False,False,False,False,,,班达马兰东南宫,"H 259, Jalan Bakar Arang, Pandamaran, Port Klang, Selangor.",,巴生,,,,,3.0012632,101.4145761,,Perlis
16,,Tian He Gong,False,False,False,True,True,False,False,False,False,,,班达马兰二区天和宫,"577, Jalan Lai, Pandamaran New Village, Klang, Selangor.",,巴生,,,,,3.006503,101.4101232,,Perlis
17,,Kuan Seh Keong,False,False,False,True,True,False,False,False,False,,,班达马兰观西宫,"146, Jalan Chan Ah Chu, Pandamaran, Pelabuhan Klang, Selangor.",,巴生,,,,,3.009891,101.4177569,,Perlis
18,,Qing Lin Si,False,False,False,True,True,False,False,False,False,,,班达马兰后尾芭清林寺,"Jalan Banting, Pandamaran, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,2.9972512,101.4202791,,Perlis
19,,Lai Suan Siah Boh Temple,False,False,False,True,True,False,False,False,False,,,班达马兰梨山圣母宫,"565, Jalan Dengkil, Kampung Baru, Pandamaran, Pelabuhan Klang, Selangor.",,巴生,,,,,3.0069762,101.4093122,,Perlis
20,,Ling Bao Gong,False,False,False,True,True,False,False,False,False,,,班达马兰灵宝宫,"11652, Jalan Banting, Pandamaran, 42000 Pelabuhan Klang, Selangor",,巴生,,,,,2.9923914,101.4204023,,Perlis
21,,Sin Thong Tuah,False,False,False,True,False,False,False,False,False,,,班达马兰善童坛,"33, Lorong Mesra 1 off Jalan Kim Chuan, Kawasan 5, Taman Chi Liung Pandamaran, Pelabuhan Klang, Selangor. ",,巴生,,,,,3.015584,101.4243428,,Perlis
22,,Mah Chor Temple,False,False,False,True,True,False,False,False,False,,,班达马兰万津路妈祖庙,"Jalan Banting, Tokong Cina, Kunci Air, Pandamaran, 42000 Pelabuhan Klang, Selangor.",,巴生,,,,,2.9403192,101.4720829,,Perlis
23,,Poh Seng Keng,False,False,False,True,True,False,False,False,False,,,班达马兰咸水芭宝圣宫,"41, Jalan Bukit Arang, Pandamaran, Port Klang, Selangor.",,巴生,,,,,2.9848922,101.7912117,,Perlis
24,,Lian Ann Kong,False,False,False,True,True,False,False,False,False,,,班达马兰咸水芭莲安宫,"Leboh Raja Lumu, Kawasan 12, 42000 Port Klang, Selangor",,巴生,,,,,2.9999994,101.4059547,,Perlis
