OBJECTID *,Shape *,admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo,Shape_Length,Shape_Area
1,Polygon ZM,Alor Gajah,MY0601,<Null>,<Null>,<Null>,Malacca,MY06,Malaysia,MY,2/12/2020,11/2/2021,<Null>,1.217152,0.054501
2,Polygon ZM,Asajaya,MY1301,<Null>,<Null>,<Null>,Sarawak,MY13,Malaysia,MY,2/12/2020,11/2/2021,<Null>,0.604365,0.010494
3,Polygon ZM,Bachok,MY0301,<Null>,<Null>,<Null>,Kelantan,MY03,Malaysia,MY,2/12/2020,11/2/2021,<Null>,0.850443,0.022898
4,Polygon ZM,Baling,MY0201,<Null>,<Null>,<Null>,Kedah,MY02,Malaysia,MY,2/12/2020,11/2/2021,<Null>,2.46921,0.125286
5,Polygon ZM,Bandar Baharu,MY0202,<Null>,<Null>,<Null>,Kedah,MY02,Malaysia,MY,2/12/2020,11/2/2021,<Null>,0.933445,0.022073
6,Polygon ZM,Barat Daya,MY1101,<Null>,<Null>,<Null>,Penang,MY11,Malaysia,MY,2/12/2020,11/2/2021,<Null>,0.9823,0.015145
7,Polygon ZM,Batang Padang,MY0901,<Null>,<Null>,<Null>,Perak,MY09,Malaysia,MY,2/12/2020,11/2/2021,<Null>,2.652094,0.223732
8,Polygon ZM,Batu Pahat,MY0101,<Null>,<Null>,<Null>,Johor,MY01,Malaysia,MY,2/12/2020,11/2/2021,<Null>,1.856647,0.161041
9,Polygon ZM,Bau,MY1302,<Null>,<Null>,<Null>,Sarawak,MY13,Malaysia,MY,2/12/2020,11/2/2021,<Null>,1.249607,0.076524
10,Polygon ZM,Beaufort,MY1201,<Null>,<Null>,<Null>,Sabah,MY12,Malaysia,MY,2/12/2020,11/2/2021,<Null>,1.948622,0.13657
11,Polygon ZM,Belaga,MY1303,<Null>,<Null>,<Null>,Sarawak,MY13,Malaysia,MY,2/12/2020,11/2/2021,<Null>,7.662039,1.590535
12,Polygon ZM,Beluran,MY1202,<Null>,<Null>,<Null>,Sabah,MY12,Malaysia,MY,2/12/2020,11/2/2021,<Null>,7.022044,0.675567
13,Polygon ZM,Bentong,MY0801,<Null>,<Null>,<Null>,Pahang,MY08,Malaysia,MY,2/12/2020,11/2/2021,<Null>,2.15838,0.147713
