Name_CH,Name_ML,Name_EN,Location,Region,Category,PageNumber,Country,latitude,longitude
玻璃市港口鱼商船主公会,Persatuan Peniaga Ikan Dan Pengusaha Bot Kuala Perlis,,"No.19, Taman Sentosa, 02000 Kuala Perlis, Perlis.",Perlis,业缘,37,Malaysia,6.399483,100.1359339
玻璃市广东公会,Persatuan Guang Dong Guan Di Miao Perlis,,"Taman Mutiara, Fasa 3, 01000 Kangar, Perlis.",Perlis,地缘,37,Malaysia,6.434396,100.1885371
玻璃市中华工商总会,,Perlis Chinese Chamber of Commerce and Industry,"274, Jalan Kangar-Alor Setarjingkat 1, Taman Mutiara, 01000 Kangar, Perlis.",Perlis,业缘,37,Malaysia,6.4361422,100.1886573
玻州小贩商业公会,Persatuan Penjaja-Penjaja & Penjual-Penjual Negeri Perlis,,"10, Jalan Jubli Perak, 01000 Kangar, Perlis.",Perlis,业缘,37,Malaysia,6.4350982,100.19184
玻州加基武吉中华公会,Persatuan Choong Fah Koong Pooi,,Dewan Persatuan Choong Fah Koong Fooi 02200 Kaki Bukit Perlis.,Perlis,综合,37,Malaysia,6.7071686,100.1927389
知知丁宜区小园主合作社,Koperasi Pekebun-Pekebun Kecil Mukim Titi Tinggi,,"115, Pekan Baru, 02200 Kaki Bukit Perlis.",Perlis,慈善福利,40,Malaysia,6.7070686,100.1927389
玻璃市州华人大会堂,Dewan Perhimpunan China Negeri Perlis,Perlis Chinese Assembly Hall,"30, Jalan Maju 4, Taman Kemajuan, 01000 Kangsar, Perlis.",Perlis,综合,37,Malaysia,6.4244626,100.2003471
青团运玻璃市州分会,Pertubuhan Gerakan Belia Bersatu Malaysia Bahagian Negeri Perlis,,"No.30, Jalan Maju 4, Taman Kemajuan, 01000 Kangsar, Perlis.",Perlis,青年妇女,40,Malaysia,6.4243626,100.2003471
玻璃市福建会馆,Persatuan Hokkien Perlis,Perlis Hokkien Association,"No.1, Jalan Barrack, Kangar, Perlis.",Perlis,地缘,37,Malaysia,6.440633,100.198371
吉玻庄严同宗会,Persatuan Zhuang Yam Kedah Dan Perlis,,"No.4, Tingkat 2, Taman Selesa, Simpang Kuala, 05400 Alor Setae Kedah.",Perlis,血缘,37,Malaysia,6.0962157,100.3640476
吉玻庄严同宗会,Persatuan Zhuang/Yam Kedah Dan Perlis,,"4, Tingkat 2, Taman Selesa, Simpang Kuala, 05400 Alor Setan Kedah.",Kedah,血缘,45,Malaysia,6.0961157,100.3640476
玻璃市佛学会,Pertubuhan Buddist Perlis,,"1, Jalan Mutiara, Taman Mutiara, 01000 Kangar, Perlis.",Perlis,宗教,38,Malaysia,6.4352217,100.188897
玻州德教会紫阳阁,Persatuan Pendidikan Akhlak Che Yang Khor,Che Yang Khor Moral Uplifting Society,"33, Pengkalan Asam, 01000 Kangar, Perlis.",Perlis,宗教,38,Malaysia,6.4341697,100.1884518
玻璃市华校董事联合会,Persatuan Lembaga2 Pengurus Sekolan China Perlis,,"C/O SRJK(C) Khoon Aik, Jalan Raja Syed Alwi, 01000 Kangar, Perlis.",Perlis,文教,38,Malaysia,6.4293425,100.1966063
群益学校校友会,Persatuan Murid-Murid Tua Khoon Aik,,"1, Jalan Seri Satuz Taman Perlis, 01000 Kangar, Perlis.",Perlis,文教,38,Malaysia,6.4278857,100.1973266
玻璃市加央真空教原南坛,Guan Nam Tuagh Chinese Temple,,"125, Jalan Jubli Emas, Kangar, Perlis.",Perlis,宗教,38,Malaysia,6.4451486,100.2593716
玻璃市华校教师会,Persatuan Guru-Guru Sekolah Cina Perlis,The Perlis Chinese School Teachers Association,"SJK(C) Kok Aik, 02500 Mata Ayer, Perlis.",Perlis,文教,38,Malaysia,6.4729163,100.2584516
玻州亚娄庆安宫,Persatuan Penganut Dewa Kheng Aun Keong,,"C-16, Jalan Syed Hussein, 02600 Arau, Perlis.",Perlis,宗教,38,Malaysia,6.42649,100.273206
华益学校校友会,Persatuan Murid-Murid Tua Hwa Aik,,"Sekolah Hwa Aik, Arauz Perlis.",Perlis,文教,38,Malaysia,6.4269488,100.2738723
玻州菩提佛教会,PersatuanBodhi Buddhist Perlis,Perlis Bodhi Buddhist Association,"8, Jalan Taman Sri lntan, 02600 Arauz Perlis.",Perlis,宗教,38,Malaysia,6.4066666,100.300156
玻中校友会,Persatuan Murid-Murid Tua SMJK Perlis,,"2, Jalan Masjid, 02100 Padang Besar, Perlis.",Perlis,文教,38,Malaysia,6.6607538,100.3203013
加基武吉佛教会,,Pertubuhan Buddhis Kaki Bukit,"PT 1794, Pekan Lama, 02000 Kuala Perlis, Perlis.",Perlis,宗教,39,Malaysia,6.4029751,100.1367166
加央港口永安堂,Tokong Cina Eng Aun Keong,,"Batu 6 3/4, Jalan Besar, 02000 Kuala Perlis, Perlis.",Perlis,宗教,39,Malaysia,6.4001926,100.1321494
普济庙,Fo Chi Mooi,,"76, Pekan Simpang Empat, 02700 Simpang Empat Perlis.",Perlis,宗教,39,Malaysia,6.2980423,100.1367166
双弄那督庙,Dato Kong Kuala Sanglang,,"225, K Sanglang, Perlis.",Perlis,宗教,39,Malaysia,6.2615932,100.1957322
玻璃市州琼谊社,Kelab Kheng Yee The Perlis,,"Hotel Federel, 01000 Kangar, Perlis.",Perlis,体育联谊,39,Malaysia,6.4455726,100.206392
赞美中心,Gospel Vision Consultant,,"No. 20, Jalan Cendana, Taman Kaki Bukit, 02200, Kaki Bukit Perlis.",Perlis,宗教,39,Malaysia,6.643336,100.2124665
爪夷芭静安宫理事会,"Pertubuhan Pengurusan Rumah Berhala Cheng Aun Kong, Jejawi, Perlis",,"1168, Jalan Jejawi Permatang, 02600, Arau, Perlis.",Perlis,宗教,39,Malaysia,6.4068519,100.2267865
山神伯公庙,Tokong Cina Beseri Jaya,,"2841, Taman Beseri Jaya 02400,Perlis.",Perlis,宗教,39,Malaysia,6.559489,100.2334792
玻璃市篮球总会,Persatuan Bola Keranjang Negeri Perlis,Perlis Basketball Association,"158, Taman Utara, Jejawi, 02600 Arau, Perlis.",Perlis,体育联谊,39,Malaysia,6.4105653,100.2824483
福德祠（巴东勿刹）,Hock Teik Soo Temple,,"C/O 31, Pekan Lama, 02100 Padang Besar, Perlis.",Perlis,宗教,39,Malaysia,6.6527518,100.2712297
玻州港口广万源公冢,Tanah Kubur Cho Kong Wan Teng (Orang Cina Mukim Kuala Perlis),,"Kampung Bukit Putih 02000 Kuala Perlis, Perlis.",Perlis,慈善福利,40,Malaysia,6.4163889,100.1436111
青运玻州分会,YMM Perlis,,"18, Jalan Sarawak, 02000, Kuala Perlis, Perlis.",Perlis,青年妇女,40,Malaysia,6.4006467,100.1339186
玻州十字港，新港公冢,Kubur China (Wan On),,"Kuala Sungai Baru 02700 Simpang Empat, Kayang, Perlis.",Perlis,慈善福利,40,Malaysia,6.334916,100.1659619
玻璃市华人公冢理事会,Persatuan Perkuburan Orang-Orang Tionghwa Perlis,Perlis Chinese Public Cemetery Committee,"7, Jalan Indra Kayangan, 01000 Kangar, Perlis.",Perlis,慈善福利,40,Malaysia,6.438261,100.193518
吉玻州双弄华人公冢理事会,"JawatankuasaTanah Perkuburan Orang-Orang Kuala Sanglang, Kedah/Perlis",,"1178,1179 dan 1180 (Asal Lot 1081 & 1095) Negeri Perlis, Mukim Sanglang, Simpang Sanglang.",Perlis,慈善福利,40,Malaysia,6.282643,100.1982971
玻州加基武吉长江寮义务消防队,"Bomba Sukarela Pekan Sayur Kaki Bukit, Perlis",,"No.12, Pekan Sayur Kaki Bukit, Perlis.",Perlis,慈善福利,40,Malaysia,6.6427383,100.2127371
万和公冢,Perkuburan Wan Ho,,"Batu 1, Jalan Tambun Tulang, Simpang Empat, Kayang, Perlis.",Perlis,慈善福利,40,Malaysia,6.38486,100.2488782
亚娄及新路公冢,Perkuburan Cina Arau / Pauh (Awan),,"Batu 11/2, Jalan Pauhz Kurong Anai, Perlis.",Perlis,慈善福利,40,Malaysia,6.4330463,100.2990516
浮罗交怡福建会馆,Pulau Langkawi Hokkien Association,,"217, Taman Langkawai, Mukim Kuahz 07000 Pulau Langkawi, Kedah.",Kedah,地缘,41,Malaysia,6.35,99.8
浮罗交怡海南会馆,Persatuan Hainan Langkawi Kedah,,"1 Pekan Kuah, 07000 Langkawi, Kedah.",Kedah,地缘,41,Malaysia,6.333158,99.861234
吉玻福莆仙同乡会,Kedah / Perlis Hock Phor Sean Association,,"40, Jalan Putra, 05100 Alor Star, Kedah.",Kedah,地缘,41,Malaysia,6.123256,100.3621919
吉玻海南会馆,Persatuan Hainan Kedah / Perlis,"Hainan Association, Kedah And Perlis","36, Jalan Putra, 05100 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia,6.1228932,100.3631808
吉玻海南会馆,Persatuan Hainan Kedah / Perlis,"Hainan Association, Kedah And Perlis","36, Jalan Putra, 05100 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia,6.1227932,100.3631808
吉玻惠安公会,Persatuan Hui Aun Kedah / Perlis,,"51. KLM. Kampong Perak, 05100 Alor Star, Kedah.  ",Kedah,地缘,41,Malaysia,6.1221761,100.3625921
吉打小贩商业公会,Persatuan Penjaja-Penjaja Kedah,,"51, S&T,  Jalan Kampong Perak, 05100 Alor Setar, Kedah.",Kedah,业缘,47,Malaysia,6.1221011,100.3626354
吉礁建筑商暨建筑材料商公会,Persatuan Pemborong-Pemborong Dan Pembekal- Pembekal Barang-Barang Bangunan Kedah,,"169-A&B, Jalan Kampong Perak, 05100 Alor Star, Kedah.",Kedah,业缘,47,Malaysia,6.1221011,100.3625488
吉玻潮州会馆,Persatuan Teochew Kedah / Perlis,,"27-B, Lebuhraya Darul Aman, 05000 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia,6.1225038,100.3670486
吉打州华人大会堂,Dewan Perhimpunan Cina Keda,Kedah Chinese Assembly Hall,"8, Jalan Tanjung Bendahara, 05300 Alor Setae Kedah.",Kedah,综合,41,Malaysia,6.1013326,100.3732432
吉玻惠州会馆,Persatuan Fui Chiu Kedah/Perlis Chen & Association,,"68 Komplek Alor Malai Batu 2, Jalang Langgar, 054460 Alor Setar, Kedah.",Kedah,地缘,41,Malaysia,6.1290649,100.3860396
吉玻广西会馆,Perdatuan Kwang Sai Association,,"1 Jalan Petani, Sungai Petani, Kedah.",Kedah,地缘,41,Malaysia,5.651388,100.515887
吉玻当商公会,Pertubuhan Pengusaha Pajak Gadai Kedah ,,"1 Jalan Petani, Sungai Petani, Kedah.",Kedah,业缘,45,Malaysia,5.651288,100.515887
双溪大年华人注册社团联合会,Gabungan Persatuan Orang-Orang China,Sungai Petani Kedah,"21 Jalan Merbok, 08000 Sungai Petani, Kedah.",Kedah,综合,41,Malaysia,5.6405189,100.486279
吉中善行会,Pertubuhan Derma Bakti Kedah Tengah,,"21, Jalan Merbok, 08000 Sungai Petani, Kedah.",Kedah,慈善福利,59,Malaysia,5.6404189,100.486279
吉玻晋江会馆,Persatuan Chin Kang Kedah/Perlis,,"3B,C Tingkat 1, Jalan Gangsa, Seberang Jalan Putra, 05150 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1265935,100.3581289
吉玻南安会馆,Persatuan Nan Ann Kedah/Perlis,The Nan Ann Association Kedah/Perlis,"169-D, Jalan Putra 05100 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1239428,100.3605645
吉打中山公会,Persatuan Chung Sun,Chung Sun Association,"65, Jalan Putra 05100, Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1229942,100.3628097
吉打永大会馆,Persatuan Yoon Thai,Yoon Thai Association,"99, Pekan China, 05000 Alor Setar, Kedah.",Kedah,地缘,42,Malaysia,6.1164462,100.3629895
吉打漳泉公所,Kedah Chang Chuan Kong Sor,,"190, Jalan Penjara Lama, 05000 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.117623,100.3640173
吉打福建公会,Persatuan Hokkien Kedah,Kedah Hokkien Association,"189-191, (Tingkat Satu), Jalan Penjara Lama, 05000 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1167846,100.3653949
吉打客家公会,Persatuan Hakka Kedah,,"2-B , Jalan Kampong Perak, 05100 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1210698,100.3646997
吉玻台山会馆,Persatuan Orang Orang Toishan Kedah / Perlis Toishan Association Kedah And Perlis,,"2-C, Kampong Baru, 05000 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1218631,100.3675918
吉打广东暨汀州会馆,Persatuan Kwangtung & Tengchow Kedah,,"24-A, Jalan Pengkalan Kapal 05000 Alor Setae Kedah.",Kedah,地缘,42,Malaysia,6.1144405,100.3670365
吉玻龙答同乡会,Persatuan Lungyen Kedah / Perlis,,"750, Lebuhraya Darul Aman, 05000 Alor Setar, Kedah.",Kedah,地缘,42,Malaysia,6.1317504,100.3683117
吉玻辛柯蔡宗祠,"Sin Quah Chuah Chong Soo, Kedah / Perlis",,"737, Lebuh Raya Darulaman 05100, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia,6.1316504,100.3683117
吉打州福州会馆,Persatuan Foochow Kedah,Kedah Foochow Association,"785, Jalan Langgar, 05460 Alor Star, Kedah.",Kedah,地缘,42,Malaysia,6.1173582,100.3730704
吉南福建公会,Persatuan Hokkien Kedah Selatan,South Kedah Hokkien Association,"291, Jalan Pasar, 09000 Kulim, Kedah.",Kedah,地缘,42,Malaysia,5.3695205,100.5556366
福龙山坟山小组,Persatuan Hokkien Kedah Selatan,,"291, Jalan Pasar 09000 Kulim, Kedah.",Kedah,慈善福利,57,Malaysia,5.3694205,100.5556366
吉南琼崖同乡会,Pert Thye Guang (Ong Si Choong Soo) Kedah/Perlis,,"70-L/M Taman Mahawangsa Seberang, Jalan Alor Setar, 05150 Kedah.",Kedah,地缘,43,Malaysia,6.1428582,100.3311919
吉玻关氏延陵堂,Pertubuhan Keturunan Goh' s(Ean Leng Tong),Kedah Perlis,"50 Taman Thean Peng Seberang, Jalan Putra, 05150 Alor Setae Kedah.",Kedah,血缘,43,Malaysia,6.13352,100.3441771
吉玻嘉应会馆,Persatuan Kah Yin Kedah/Perlis,Kedah Perlis Kah Yin Association,"115, Jalan Langgar, 05460, Alor Star, Kedah.",Kedah,地缘,43,Malaysia,6.1169556,100.3707448
吉玻江夏堂黄氏宗祠,Persatuan Kang Har Tong (Ooi Si Chong Soo) Kedah / Perlis,,"10-G, Jalan Datuk Syed Omar, Seberang, Jalan Putra, 05150 Alor Setar, Kedah.",Kedah,血缘,43,Malaysia,6.1247778,100.3854258
吉中客家公会,Persatuan Hakka Kedah Tengah,,"20 Jalan Merbok, 08000 Sungai Petani, Kedah.",Kedah,地缘,43,Malaysia,5.6404679,100.486228
吉中福建会馆,Hokkien Association Central Kedah,,"1G, 1st Floor, Jalan Kampung Baru, 08000 Sungai Petani, Kedah.",Kedah,地缘,43,Malaysia,5.635983,100.486348
吉南嘉应五属同乡会,Persatuan Kah Yin Kedah Selatan,,"52, Jalan Raya, 09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia,5.366648,100.5539893
吉属高州会馆,Kedah Koh Chow Wooi Koon,,"287-M, Jalan Aman ,09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia,5.370651,100.554537
吉南广惠肇会馆,Persatuan Kwong Wai Slew Kedah Selatan,,"30, Jalan Raya, 09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia,5.368179,100.5551418
吉南韩江公会,Persatuan Hang Kang Kedah Selatan ,,"29 Jalan Ray, Kulim, Kedah.",Kedah,地缘,43,Malaysia,5.3681171,100.5552646
吉南韩江公会,,Hang Kang Association& Kedah,"29, Jalan Raya, 09000 Kulim, Kedah.",Kedah,慈善福利,59,Malaysia,5.3680171,100.5552646
吉南客家公会,Persatuan Kaum Orang-Orang Hakka Kedah Selatan,South Kedah Hakka Community Association,"1125-1126, Lorong Belibis 1/1, Taman Tunku Putra, 09000 Kulim, Kedah.",Kedah,地缘,43,Malaysia,5.3736648,100.5582809
吉玻王氏太原堂,Pertubuhan Thye Guan Tong (Ong Si Chong Soo),Kedah / Perlis,"70-L & 70-M, Taman Mahawangsa, Seberang Jalan Putra, 05150 Alor Setar, Kedah,",Kedah,血缘,44,Malaysia,6.1200058,100.3594005
吉玻谢氏宗亲会,Persatuan Cheah Kedah/Perlis,,"23 Tingkat 1, Jalan Tunku Yaakub, Alor Setar, Kedah.",Kedah,血缘,44,Malaysia,6.1170733,100.3626123
吉玻刘关张赵古城会,Persatuan Liu Guan Zhang Zhao Gu Cheng Hui,Kedah / Perlis,"168, Lebuhraya Sultan Abdul Halim, 05400 Alor Star, Kedah.",Kedah,血缘,44,Malaysia,6.086113,100.3631093
吉玻施氏公会,Persatuan See Kedah/Perlias,,"173-B Taman Sri Tandop, Jalan Lencong Barat Alor Setar, Kedah.",Kedah,血缘,44,Malaysia,6.0730443,100.3635728
