Name,Notes,Address,State,UID,Latitude,Longitude,img,no_img
永平天保宮 (68尺濟公),,"Taman Sembrong Barat, 83700 Yong Peng, Johor",Johor,A001,2.010124,103.066232,,
永平天靈宮,,"31, Jalan Ang Moh Sam, Taman Sembrong Baru, 83700 Yong Peng, Johor",Johor,A002,2.0180711,103.065743,Yes,2
永平天後宮-又稱媽祖廟,,"Taman Selatan, 83700 Yong Peng, Johor.",Johor,A003,2.01939,103.062632,,
正福德宮,,"Jalan Aman, Taman Sembrong Baru, 83700 Yong Peng, Johor",Johor,A004,2.014129,103.0671151,,
佛教圓滿蕯迦中心,,"Jalan Madu 1, Taman Sembrong Baru, 83700 Yong Peng, Johor, Johor",Johor,A005,2.0141289,103.0659716,,
永平德教會紫安閣,,"83700 Yong Peng, Johor",Johor,A006,1.9654819,103.0472164,Yes,2
Buddhist Tzu Chi Foundation Malaysia (Johor Bahru) 慈濟,,"3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A007,1.5266668,103.6493526,,
武天宫,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A008,1.4771876,103.6330085,,
弥陀之家东林寺,,"No 18, Jalan Pertama 4, Pusat Perdagangan Danga Utama, Johor",Johor,A009,1.5190766,103.678989,,
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor",Johor,A010,1.5271407,103.6576497,,
金刚寺,,"No. 2, Jalan Temenggong 9, Taman Ungku Tun Aminah, 81300 Skudai, Johor",Johor,A011,1.5104369,103.653161,,
柔佛州永平趙子龍廟,,"5687，Jalan Ujung, 83700 Yong Peng. Johor.",Johor,A012,1.9654819,103.0472164,,
永平佛教會,,"Taman Sri Aman, 83700 Yong Peng, Johor",Johor,A013,2.0214978,103.0684453,,
善意堂 SHUNG HEE TO TEMPLE,,"Lot 4063, Jln Dato‘ Bentara Dalam, Kampung Kuala Sabar, 85400 Chaah, Johor",Johor,A014,2.245683,103.0410442,,
法南宮,,"Taman Damai Jaya 1, 85400 Chaah, Johor",Johor,A015,2.2401134,103.0421752,,
三合港老港腳洪仙宮 Chaah Lao Gang Jiao Hong Xian Gong,,"85400 Chaah, Johor",Johor,A016,2.249619,103.0400849,,
慈善堂,,"Near 56, Jalan meng Seng, Taman Selatan, 83700, Yong Peng, Johor",Johor,A017,2.0152065,103.0645303,,
璧山宮 / 水尾聖娘,,"Kebun Bahru, Johor",Johor,A018,2.391389,102.683075,,
華人廟宇,,"Jalan Satu, Kebun Baharu, 85200 Jementah, Johor",Johor,A019,2.3917695,102.6837358,,
雲峰宮 Yun Feng Gong,,"Lorong Padang, Kampung Bahru, 85200 Jementah, Johor",Johor,A020,2.4403059,102.6850439,,
利民達八城殿,,"Lor 15, Kampung Bahru, 85200 Jementah, Johor",Johor,A021,2.4365697,102.6871893,,
南海廟,,"Taman Jementah Jaya, 85200 Jementah, Johor",Johor,A022,2.4456546,102.6883785,,
