Name_ZH,Address,District_EN,District_ZH,District_Code,Main_Diety,Founding_Date,Steele,Plaque,latitude,longitude,old_2,State
柔佛古廟,"Lot 653, Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru, Johor",Johor Bahru,新山,JB01,玄天大帝,1860,,"總握天樞匾 （1870）, 同沾帝德匾 （1873）, 極德咸沾匾 （1874）, 鐘銘 （1875）",1.4605951,103.7631134,TRUE,Johor
寶蓮宮,"Lot 562, Jalan Tan Hock Kiat, Taman Tampoi, 81200 Johor Bahru, Johor",Johor Bahru,新山,JB02,蓮花三太子,1960,,,1.4562564,103.7634963,TRUE,Johor
三鳳宫,"Taman Abad, 80250 Johor Bahru, Johor",Johor Bahru,新山,JB03,洪仙大帝,1972,,,1.482543,103.7595973,TRUE,Johor
慈規堂,"Jalan Danau 1, Taman Desa Jaya, 81100 Johor Bahru, Johor",Johor Bahru,新山,JB04,齊天大聖、洪老仙師、太上老君,1986,,,1.5552275,103.80439,TRUE,Johor
宋大峯祖師,"Jalan Puteri Senibong,Kampung Teluk Jawa, 81750, Johor",Johor Bahru,新山,JB05,宋大峯祖师,1990,,,1.47621,103.8487121,TRUE,Johor
佛光庙,"PTD162542, Jalan Mutiara Emas 3/2, Taman Mount Austin, 81100 Johor Bahru, Johor",Johor Bahru,新山,JB06,释迦摩尼,1997,,,1.5458745,103.7887178,TRUE,Johor
濟聖宮,"Jalan Sagu 35, Taman Daya, 81100 Johor Bahru, Johor",Johor Bahru,新山,JB07,法主公,1998,,,1.5487351,103.7636737,TRUE,Johor
美樂福德正神拿督廟,"No. 14, Jalan Taban, Taman Melodies, 80250 Johor Bahru, Johor.",Johor Bahru,新山,JB08,法主公,2005,,,1.4933694,103.7627061,TRUE,Johor
地南古廟 ,"Batu, 20, Jalan Sungai Tiram, 81800 Ulu Tiram, Johor",Johor Bahru,新山,JB09,玄天大帝,2005,,,1.601479,103.8339188,TRUE,Johor
新山噶瑪剛善佛教中心,"Jalan Gunung 35, Bandar Seri Alam, 81750 Masai, Johor",Johor Bahru,新山,JB10,,2008,,,1.5157821,103.8627547,TRUE,Johor
烏魯地南德教會濟安善社+北帝宮,"No 14, Jalan Resam 9/Ledang, Taman Bukit Tiram, 81800 ,Ulu Tiram, Johor",Johor Bahru,新山,JB11,,2011,,,1.6080511,103.8142471,TRUE,Johor
地南新村-拿督公,"Kampung Baru, 81800 Ulu Tiram, Johor",Johor Bahru,新山,JB12,拿督公,2017,,,1.60084,103.8149438,TRUE,Johor
新山福林園德教會濟真善社,"78, Jalan Bertam 14, Taman Daya,81100, Johor Bahru, Johor.",Johor Bahru,新山,JB13,真武大帝,2018,,,1.539968,103.765245,TRUE,Johor
福靈宮,"PTD 65818, Jalan Sagu 6, Taman Daya, 81100 Johor Bahru, Johor.",Johor Bahru,新山,JB14,观音菩萨,2019,,,1.541181,103.7676328,TRUE,Johor
天后宮,"Jalan Bypass Kota Tinggi, 81900 Kota Tinggi, Johor.",Kota Tinggi,哥打丁宜,KT01,天后聖母,1917,,答謝神恩匾 （1917/18）,1.7255786,103.9120878,TRUE,Johor
護福廟,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT02,大伯公,1885,,,1.3647023,104.1111109,TRUE,Johor
福德宫,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT03,福德正神,1895,,,1.3647023,104.1111109,TRUE,Johor
泰山宮,"J52, Kampung Penggerang, 81600 Pengerang, Johor",Kota Tinggi,哥打丁宜,KT04,大士爺,1910,,,1.393035,104.146881,TRUE,Johor
三灣觀音寺,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT05,觀音娘娘,1925,,,1.3647023,104.1111109,TRUE,Johor
寶安宮,"Jalan Kerisi, Kampung Sungai Rengit, 81600 Pengerang, Johor",Kota Tinggi,哥打丁宜,KT07,四位王府,1930,,,1.3516627,104.2246369,TRUE,Johor
鳳山宮,"351, Jln Kurau 1, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",Kota Tinggi,哥打丁宜,KT08,關帝聖君,1930,,,1.3516863,104.2208316,TRUE,Johor
順鎮宮,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT06,大伯公,1936,,,1.3647023,104.1111109,TRUE,Johor
新鳳山廟,"Teluk Ramunia, 81600 Bandar Penawar, Johor",Kota Tinggi,哥打丁宜,KT11,天后聖母,1940,,,1.372823,104.246609,TRUE,Johor
四灣沈氏祖廟,"jalan kurau 1 ,Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",Kota Tinggi,哥打丁宜,KT09,武德候祖勇公,1943,,,1.353065,104.2235484,TRUE,Johor
山福寺," Jalan Teluk Ramunia, Bandar Penawar, 81600，Johor",Kota Tinggi,哥打丁宜,KT10,海南佛祖,1946,,,1.3719853,104.2492161,TRUE,Johor
福潮亭,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT12,大伯公,1964,,,1.3647023,104.1111109,TRUE,Johor
順安宮,"Taman Bayu, 81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT13,三位王府,1965,,,1.379772,104.2716186,TRUE,Johor
華山宮,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT14,仙法師,1968,,,1.3647023,104.1111109,TRUE,Johor
關帝廟,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT15,關帝聖君,1970,,,1.3647023,104.1111109,TRUE,Johor
真空教應光道堂,"3, Jalan Kota Tinggi - Pengerang, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",Kota Tinggi,哥打丁宜,KT16,真空祖,1997,,,1.3505714,104.2246893,TRUE,Johor
天法威靈廟,"81900 Bandar Penawar, Pengerang, Johor.",Kota Tinggi,哥打丁宜,KT17,严氏通天皇,1998,,,1.3647023,104.1111109,TRUE,Johor
紫煥閣,"286, Jalan Kurau 4, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor.",Kota Tinggi,哥打丁宜,KT18,玉皇大帝,2001,,,1.3552564,104.2235522,TRUE,Johor
夫人媽廟,"Kampung Sungai Rengit,81600 Pengerang, Johor",Kota Tinggi,哥打丁宜,KT20,夫人媽,,,,1.350762,104.2244809,TRUE,Johor
福山宫,"81600 Pengerang, Johor",Kota Tinggi,哥打丁宜,KT21,福德正神,,,,1.3647023,104.1111109,TRUE,Johor
譚公仙聖廟,"Lot 5503, Jalan Seelong 1, Kampung Baru Seelong, 81400 Senai, Johor",Kulai,古來,KL01,譚公仙聖,1902,,,1.6295451,103.6960851,TRUE,Johor
洪仙大帝廟,"No.106, KG.Baru Seelong, 81410 Senai, Johor",Kulai,古來,KL02,洪仙大帝,1970,,,1.626337,103.6963732,TRUE,Johor
觀音堂,"33, Jalan Wayang, Lorong 3, Kulai, Johor.",Kulai,古來,KL03,觀音娘娘,1985,,,1.6493021,103.613745,TRUE,Johor
靈寶壇,"105, Jalan Senai Jaya 3, Taman Senai Jaya, 81400 Senai, Johor.",Kulai,古來,KL04,天后聖母,,,,1.611365,103.6662183,TRUE,Johor
關善壇,"82100 Kayu Ara Pasong, Johor",Pontian,笨珍,PT02,關帝聖君,1999,,,1.6116829,103.3818345,TRUE,Johor
巴羅齊天宮,"Kampung Muhibbah, 85400 Paloh, Johor",Kluang,居鑾,K1,齊天大聖,1996,,,2.193168,103.1960239,TRUE,Johor
巴羅靈山寺,"Jln Klinik, 85400 Paloh, Johor",Kluang,居鑾,K2,釋迦牟尼,1961,,,2.1405497,103.2404743,TRUE,Johor
巴羅鳳山寺,"No. 17, Jalan Lee Chow, 86600 Paloh, Kluang, Johor.",Kluang,居鑾,K3,哪吒,2001,,,2.1888605,103.1963648,TRUE,Johor
