Name,Notes,Address,State,UID
永平天保宮 (68尺濟公),,"Taman Sembrong Barat, 83700 Yong Peng, Johor",Johor,A001
永平天靈宮,,"31, Jalan Ang Moh Sam, Taman Sembrong Baru, 83700 Yong Peng, Johor ",Johor,A002
永平天後宮-又稱媽祖廟,,"Taman Selatan, 83700 Yong Peng, Johor.",Johor,A003
正福德宮 ,,"Jalan Aman, Taman Sembrong Baru, 83700 Yong Peng",Johor,A004
佛教圓滿蕯迦中心,,"Jalan Madu 1, Taman Sembrong Baru, 83700 Yong Peng, Johor ",Johor,A005
永平德教會紫安閣 ,,"83700 Yong Peng, Johor ",Johor,A006
Buddhist Tzu Chi Foundation Malaysia (Johor Bahru) 慈濟,," 3, Jalan Jaguh 1, Taman Harmoni 2, 81300 Skudai, Johor",Johor,A007
武天宫,,"4, Jalan Ceria 19, Taman Nusa Indah, 81200 Johor Bahru, Johor",Johor,A008
弥陀之家东林寺,,"No 18, Jalan Pertama 4, Pusat Perdagangan Danga Utama,",Johor,A009
圆观堂,,"54, Jalan Ronggeng 19, Taman Nesa, 81300 Skudai, Johor ",Johor,A010
金刚寺,,"No. 2, Jalan Temenggong 9, Taman Ungku Tun Aminah, 81300 Skudai",Johor,A011
柔佛州永平趙子龍廟,,"5687，Jalan Ujung, 83700 Yong Peng. Johor.",Johor,A012
永平佛教會,,"Taman Sri Aman, 83700 Yong Peng, Johor ",Johor,A013
善意堂 SHUNG HEE TO TEMPLE ,,"Lot 4063, Jln Dato‘ Bentara Dalam, Kampung Kuala Sabar, 85400 Chaah, Johor ",Johor,A014
法南宮,,"Taman Damai Jaya 1, 85400 Chaah, Johor ",Johor,A015
三合港老港腳洪仙宮 Chaah Lao Gang Jiao Hong Xian Gong,,"85400 Chaah, Johor ",Johor,A016
慈善堂,,"Near 56, Jalan meng Seng, Taman Selatan, 83700, Yong Peng, ",Johor,A017
璧山宮 / 水尾聖娘,,Kebun Bahru,Johor,A018
華人廟宇,,"Jalan Satu, Kebun Baharu, 85200 Jementah, Johor",Johor,A019
雲峰宮 Yun Feng Gong ,,"Lorong Padang, Kampung Bahru, 85200 Jementah, Johor",Johor,A020
利民達八城殿 ,,"Lor 15, Kampung Bahru, 85200 Jementah, Johor",Johor,A021
南海廟,,"Taman Jementah Jaya, 85200 Jementah, Johor",Johor,A022
青龍亭,,"69, Lorong 4, Taman Jementah Jaya, 85200 Jementah, Johor",Johor,A023
昔加末余文牙華光宮,求財很靈驗，廟建在橡膠園裡面,"3, Jalan Muar, Kampong TanjongSengkawang, 85000 Segamat,                  ",Johor,A024
