庙宇（名）,庙宇（英文）,地址,马来西亚华文铭刻萃编-傅吾康,马来西亚华团总名册,一庙一路网站,《走进巴生庙宇》,NUS,马校 RA,马来西亚神庙文化（已不存在）,福建会馆出版物,州
（安邦）大圣堂,Ampang Thai Sin Thong,"2A, Jalan 16, Kampung Baru Ampang, 68000 Ampang, Selangor",,,7,,,,,,雪兰莪
（安邦）南天宫九皇爷,Ampang Nan Tian Gong Kau Ong Yah Temple,"Jalan Merdeka (Kampung Baru Ampang), 68000 Ampang, Selangor.",,,7,,,,,,雪兰莪
（八打灵）nalanda佛教会,Nalanda,,,,,,,1，2，10,,,雪兰莪
（八打灵）法缘圣寺,,,,,,,,1，2，10,,,雪兰莪
（八打灵）佛爺庙,,,,,,,,1，2，10,,,雪兰莪
（八打灵）福德正神,Fu De Zheng Shen,,,,1，2，10,,,,,,雪兰莪
（八打灵）观音佛母,,,,,,,,1，2，10,,,雪兰莪
（八打灵）观音庙,Kuan Yin Temple,,,,1，2，10,,,,,,雪兰莪
（八打灵）金佛精舍,,,,,,,,1，2，10,,,雪兰莪
（八打灵）金英庙,Kam Ying Temple,"31, Jalan SS 9A/15, Sungai Way, 47300 Petaling Jaya, Selangor",,,1，2，10,,,,,,雪兰莪
（八打灵）灵应殿九皇大帝,Leng Eng Tian,,,,1，2，7，10,,,,,,雪兰莪
（八打灵）盤古祖廟,Panku Ahkung Temple,,,,,,,1，2，10,,,雪兰莪
（八打灵）阮梁圣佛宫,Yuen Leong Sing Fatt Temple,"149, PJU 1/34, Kampung Cempaka, 47301 Petaling Jaya, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（八打灵）圣灵宫,Seng Leng Kong,,,,1，2，10,,,,,,雪兰莪
（八打灵）谭公廟,,,,,,,,1，2，10,,,雪兰莪
（八打灵）桃园圣宫,Tho Guan Sen Temple,"289, Jalan SS 9A/2, Sungai Way, 47300 Petaling Jaya, Selangor.",,,1，2，7，10,,,,,,雪兰莪
（八打灵）天公亭,,,,,,,,1，2，10,,,雪兰莪
（八打灵）威灵宫,Wee Leng Keng,"MP 51， No. 97E, Kampung Matang Pagar, 47000 Sungai Buloh, Selangor.",,,1，2，7，10,,,,,,雪兰莪
