name_zh,name_en,region,address,state,old,a,b,c,d,e,f,g,h,latitude,longitude,UID,no_img
大圣堂,Ampang Thai Sin Thong,安邦,"2A, Jalan 16, Kampung Baru Ampang, 68000 Ampang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1388956,101.7593671,,
南天宫九皇爷,Ampang Nan Tian Gong Kau Ong Yah Temple,安邦,"Jalan Merdeka (Kampung Baru Ampang), 68000 Ampang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1395722,101.7644836,,
金英庙,Kam Ying Temple,八打灵,"31, Jalan SS 9A/15, Sungai Way, 47300 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0868716,101.6216042,,
阮梁圣佛宫,Yuen Leong Sing Fatt Temple,八打灵,"149, PJU 1/34, Kampung Cempaka, 47301 Petaling Jaya, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1169731,101.5977977,,
桃园圣宫,Tho Guan Sen Temple,八打灵,"289, Jalan SS 9A/2, Sungai Way, 47300 Petaling Jaya, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0885021,101.6172012,,
威灵宫,Wee Leng Keng,八打灵,"MP 51， No. 97E, Kampung Matang Pagar, 47000 Sungai Buloh, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.2452177,101.5657002,,
玄天上帝宫,Hean Tian Siong Teh Kiong,八打灵,"S130, Kampung Cempaka, 47300 Petaling Jaya, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.11795,101.5978039,,
斗母宫,Tow Boo Keong,八打靈縣,"174, Jalan 17/47, Seksyen 17, 46400 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1240551,101.6292195,,
开封府龙图宫,Leng Toh Temple,八打靈縣,"3, Jalan 1/8, 46000 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0842426,101.6510277,,
阮梁圣公佛,Petaling Jaya Yeong Leong Beow,八打靈縣,"122, Jalan 17A/1, Seksyen 17, 46400 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.1299101,101.6321792,,
山云宫,Sun Hoon Keong,八打靈縣,"47, Jalan 1/2, 46000 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0816951,101.6379577,,
五雷仙师坛,Wu Lei Xian Shi Temple,八打靈縣,"16, Jalan 1/6, 46000 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0837684,101.6522502,,
玉皇庙,Yu Huang Temple,八打靈縣,"40, Jalan Railway 1/2, Seksyen 1, 46000 Petaling Jaya, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0824505,101.6483519,,
白鹤仙法师公古庙,Pek Hoh Siang Huat Sze Kong,巴生,"122A, Bagan Teochew, Pulau Ketam, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.0195539,101.2452358,,
白虎宫,Bai Hu Gong,巴生,"Sungai Seberang, Pulau Ketam, Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,2.99874,101.39157,,
班达马兰东南宫,Tong Lam Gong,巴生,"H 259, Jalan Bakar Arang, Pandamaran, Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0012632,101.4145761,,
班达马兰二区天和宫,Tian He Gong,巴生,"577, Jalan Lai, Pandamaran New Village, Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.006503,101.4101232,,
班达马兰观西宫,Kuan Seh Keong,巴生,"146, Jalan Chan Ah Chu, Pandamaran, Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.009891,101.4177569,,
班达马兰后尾芭清林寺,Qing Lin Si,巴生,"Jalan Banting, Pandamaran, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9972512,101.4202791,,
班达马兰梨山圣母宫,Lai Suan Siah Boh Temple,巴生,"565, Jalan Dengkil, Kampung Baru, Pandamaran, Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0069762,101.4093122,,
班达马兰灵宝宫,Ling Bao Gong,巴生,"11652, Jalan Banting, Pandamaran, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9923914,101.4204023,,
班达马兰善童坛,Sin Thong Tuah,巴生,"33, Lorong Mesra 1 off Jalan Kim Chuan, Kawasan 5, Taman Chi Liung Pandamaran, Pelabuhan Klang, Selangor. ",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.015584,101.4243428,,
班达马兰万津路妈祖庙,Mah Chor Temple,巴生,"Jalan Banting, Tokong Cina, Kunci Air, Pandamaran, 42000 Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9403192,101.4720829,,
班达马兰咸水芭宝圣宫,Poh Seng Keng,巴生,"41, Jalan Bukit Arang, Pandamaran, Port Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9848922,101.7912117,,
班达马兰咸水芭莲安宫,Lian Ann Kong,巴生,"Leboh Raja Lumu, Kawasan 12, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2.9999994,101.4059547,,
班达马兰一区关顺宫,Guan Shun Gong,巴生,"Lot 8452, Jalan Sekinchan, 42000 Pelabuhan Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0046881,101.4102057,,
班达马兰一区尾张公坛,Tiew Kong Tuah,巴生,"TBG1010, Jalan Papan, Pandamaran, 42000 Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0069777,101.4164369,,
班达马兰玉皇庙,Giok Hong Temple,巴生,"11652, Jalan Pendamar, Kampung Baru, Pandamaran, 42000 Pelabuhan Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0119688,101.4165474,,
班达马兰再也二路尾关庆宫,Kwan Kheng Keng,巴生,"Jalan Sijangkang, Pandamaran Jaya, 42000 Port Klang, Selangor",Perlis,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,3.00322,101.42583,,
船头拿督公新宫,,巴生,"Jalan Harper, Klang, Selangor.",Perlis,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,3.0533893,101.4430529,,
达摩祖师庙,,巴生,"Jalan Tok Muda, Pulau Ketam, Selangor",Perlis,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,3.019284,101.2451801,,
