Chinese_name,Address,Postal Code,District_En,District_Zh,District_code,Main_Diety,Founding_Date,Steele,Plaque
柔佛古廟,"Lot 653, Jalan Trus, Bandar Johor Bahru, 80000 Johor Bahru, Johor",80000,Johor Bahru,新山,JB 01,玄天大帝,1860,,"總握天樞匾 （1870）, 同沾帝德匾 （1873）, 極德咸沾匾 （1874）, 鐘銘 （1875）"
寶蓮宮,"Lot 562, Jalan Tan Hock Kiat, Taman Tampoi, 81200 Johor Bahru, Johor",81200,Johor Bahru,新山,JB 02,蓮花三太子,1960,,
三鳳宫,"Taman Abad, 80250 Johor Bahru, Johor",80250,Johor Bahru,新山,JB 03,洪仙大帝,1972,,
慈規堂,"Jalan Danau 1, Taman Desa Jaya, 81100 Johor Bahru, Johor",81100,Johor Bahru,新山,JB 04,齊天大聖、洪老仙師、太上老君,1986,,
宋大峯祖師,"Jalan Puteri Senibong,Kampung Teluk Jawa, 81750, Johor",81750,Johor Bahru,新山,JB 05,宋大峯祖师,1990,,
佛光庙,"PTD162542, Jalan Mutiara Emas 3/2, Taman Mount Austin, 81100 Johor Bahru, Johor",81100,Johor Bahru,新山,JB 06,释迦摩尼,1997,,
濟聖宮,"Jalan Sagu 35, Taman Daya, 81100 Johor Bahru, Johor",81100,Johor Bahru,新山,JB 07,法主公,1998,,
美樂福德正神拿督廟,"No. 14, Jalan Taban, Taman Melodies, 80250 Johor Bahru, Johor.",80520,Johor Bahru,新山,JB 08,法主公,2005,,
地南古廟 ,"Batu, 20, Jalan Sungai Tiram, 81800 Ulu Tiram, Johor",81800,Johor Bahru,新山,JB 09,玄天大帝,2005,,
新山噶瑪剛善佛教中心,"Jalan Gunung 35, Bandar Seri Alam, 81750 Masai, Johor",81750,Johor Bahru,新山,JB 10,,2008,,
烏魯地南德教會濟安善社+北帝宮,"No 14, Jalan Resam 9/Ledang, Taman Bukit Tiram, 81800 ,Ulu Tiram, Johor",81800,Johor Bahru,新山,JB 11,,2011,,
地南新村-拿督公,"Kampung Baru, 81800 Ulu Tiram, Johor",81800,Johor Bahru,新山,JB 12,拿督公,2017,,
新山福林園德教會濟真善社,"78, Jalan Bertam 14, Taman Daya,81100, Johor Bahru, Johor.",81100,Johor Bahru,新山,JB 13,真武大帝,2018,,
福靈宮,"PTD 65818, Jalan Sagu 6, Taman Daya, 81100 Johor Bahru, Johor.",81100,Johor Bahru,新山,JB 14,观音菩萨,2019,,
天后宮,"Jalan Bypass Kota Tinggi, 81900 Kota Tinggi, Johor.",81900,Kota Tinggi,哥打丁宜,KT01,天后聖母,1917,,答謝神恩匾 （1917/18）
護福廟,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT02,大伯公,1885,,
福德宫,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT03,福德正神,1895,,
泰山宮,"J52, Kampung Penggerang, 81600 Pengerang, Johor",81600,Kota Tinggi,哥打丁宜,KT04,大士爺,1910,,
三灣觀音寺,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT05,觀音娘娘,1925,,
寶安宮,"Jalan Kerisi, Kampung Sungai Rengit, 81600 Pengerang, Johor",81600,Kota Tinggi,哥打丁宜,KT07,四位王府,1930,,
鳳山宮,"351, Jln Kurau 1, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",81600,Kota Tinggi,哥打丁宜,KT08,關帝聖君,1930,,
順鎮宮,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT06,大伯公,1936,,
新鳳山廟,"Teluk Ramunia, 81600 Bandar Penawar, Johor",81600,Kota Tinggi,哥打丁宜,KT11,天后聖母,1940,,
四灣沈氏祖廟,"jalan kurau 1 ,Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",81600,Kota Tinggi,哥打丁宜,KT09,武德候祖勇公,1943,,
山福寺," Jalan Teluk Ramunia, Bandar Penawar, 81600，Johor",81600,Kota Tinggi,哥打丁宜,KT10,海南佛祖,1946,,
福潮亭,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT12,大伯公,1964,,
順安宮,"Taman Bayu, 81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT13,三位王府,1965,,
華山宮,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT14,仙法師,1968,,
關帝廟,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT15,關帝聖君,1970,,
真空教應光道堂,"3, Jalan Kota Tinggi - Pengerang, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor",81600,Kota Tinggi,哥打丁宜,KT16,真空祖,1997,,
天法威靈廟,"81900 Bandar Penawar, Pengerang, Johor.",81900,Kota Tinggi,哥打丁宜,KT17,严氏通天皇,1998,,
紫煥閣,"286, Jalan Kurau 4, Kampung Sungai Rengit, 81600 Bandar Penawar, Johor.",81600,Kota Tinggi,哥打丁宜,KT18,玉皇大帝,2001,,
福和宮,,,Kota Tinggi,哥打丁宜,KT19,福德正神,2011,,
夫人媽廟,"Kampung Sungai Rengit,81600 Pengerang, Johor",81600,Kota Tinggi,哥打丁宜,KT20,夫人媽,,,
福山宫,"81600 Pengerang, Johor",81600,Kota Tinggi,哥打丁宜,KT21,福德正神,,,
